Latitude	Longitude	Name	Dome Camera	Button Camera	Police Box	Notes	Region	URL
42.3496079	-71.0570513	Altantic and Kneeland	1				Chinatown	https://www.google.com/maps/@42.3496079,-71.0570513,3a,37.5y,318.76h,107.23t/data=!3m7!1e1!3m5!1sLg5WUvJDIBISwkT2CsZI7w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DLg5WUvJDIBISwkT2CsZI7w%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D223.88219%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192
42.3573616	-71.061041	Tremont and Bosworth	1		1		Beacon Hill	https://www.google.com/maps/@42.3573616,-71.061041,3a,27.3y,306.54h,95.13t/data=!3m6!1e1!3m4!1sdg8f1G9uH2fJ9Mpp55Rqgg!2e0!7i16384!8i8192
42.3544737	-71.0685126	Charles		1	1		Beacon Hill	https://www.google.com/maps/@42.3544737,-71.0685126,3a,51.4y,214.88h,92.41t/data=!3m6!1e1!3m4!1see9dslR9DJn_w3EvinH7xg!2e0!7i16384!8i8192
42.3523784	-71.0645815	Tremont and Boylston	1	1	1		Beacon Hill	https://www.google.com/maps/@42.3523784,-71.0645815,3a,29.1y,45.07h,105.99t/data=!3m6!1e1!3m4!1sOWL1V9lQ7TGM9int4Dm4tA!2e0!7i16384!8i8192
42.3529113	-71.0644339	Tremont 1		1	1		Beacon Hill	https://www.google.com/maps/@42.3529113,-71.0644339,3a,15.1y,124.92h,95.92t/data=!3m6!1e1!3m4!1suZAWZqTZNQYw43TUJexV7g!2e0!7i16384!8i8192
42.3532551	-71.0643182	Tremont and Avery 1	2		1		Beacon Hill	https://www.google.com/maps/@42.3532551,-71.0643182,3a,34.7y,24.34h,102.69t/data=!3m6!1e1!3m4!1s3OtIb-3UsGIYXHiIwT_kAQ!2e0!7i16384!8i8192
42.353425	-71.0642514	Tremont and Avery 2	1		1		Beacon Hill	https://www.google.com/maps/@42.353425,-71.0642514,3a,31.6y,273.46h,117.98t/data=!3m6!1e1!3m4!1sX8SdvD4_F-zf2ArUmzghnA!2e0!7i16384!8i8192
42.3551753	-71.0633556	Tremont and West 1			1		Beacon Hill	https://www.google.com/maps/@42.3551753,-71.0633556,3a,31.6y,283.92h,107.81t/data=!3m6!1e1!3m4!1sM5NaFj4ZjVNu5oi3xrqqKg!2e0!7i16384!8i8192
42.3551286	-71.0632191	Tremont and West 2	1	2	1		Beacon Hill	https://www.google.com/maps/@42.3551286,-71.0632191,3a,37.9y,232.07h,99.72t/data=!3m6!1e1!3m4!1stNvIIxD7c5c52_lrhFaK7g!2e0!7i16384!8i8192
42.3555993	-71.0628261	Tremont and Temple 1		1	1		Beacon Hill	https://www.google.com/maps/@42.3555993,-71.0628261,3a,38.4y,188.03h,117.68t/data=!3m6!1e1!3m4!1sWefoL7Ru18hNOSCWZTU7RA!2e0!7i16384!8i8192
